state,avg_prob_churn,actual_churn_rate,n_clients
NJ,0.31362070503002165,0.22727272727272727,44
OK,0.24529751479934256,0.2413793103448276,29
CA,0.22173424673323036,0.2777777777777778,18
MT,0.2128186004349302,0.22580645161290322,31
OH,0.19194586580482512,0.13157894736842105,38
KS,0.17393965917905604,0.1724137931034483,29
MO,0.1724364795473615,0.16666666666666666,30
AL,0.16816901328301498,0.11363636363636363,44
AZ,0.16009774936248428,0.2,25
NY,0.1599792410889495,0.16129032258064516,31
SD,0.1589815871716056,0.16,25
IA,0.15863465294496654,0.2,25
MA,0.15814223860811355,0.15789473684210525,38
TN,0.15719141666732192,0.25,36
WA,0.1564610613643466,0.3125,32
TX,0.1560080211597594,0.18181818181818182,44
ME,0.1551260772600608,0.14634146341463414,41
NM,0.1535792766303399,0.13793103448275862,29
MD,0.1524941913001878,0.125,32
WV,0.14555803136329332,0.23076923076923078,52
OR,0.1453212452282922,0.19444444444444445,36
CT,0.1452453390620088,0.16,25
AR,0.13883743066300794,0.13513513513513514,37
KY,0.1289497396673946,0.175,40
DE,0.12036632661880903,0.18181818181818182,33
ND,0.11615795591307301,0.15384615384615385,26
DC,0.11188272615402517,0.11764705882352941,34
IN,0.10740433897544081,0.18518518518518517,27
FL,0.10222116481796285,0.14814814814814814,27
AK,0.09990166250718344,0.1,20
MS,0.09070559605481901,0.08823529411764706,34
VT,0.08710440001123021,0.07142857142857142,28
ID,0.08667448172318361,0.10869565217391304,46
NH,0.08517444070501647,0.07692307692307693,39
UT,0.08363371883368122,0.15,40
SC,0.07328346477472834,0.06451612903225806,31
MN,0.07287903206976219,0.12195121951219512,41
MI,0.07098370066015651,0.06666666666666667,30
HI,0.06329967116111003,0.06060606060606061,33
CO,0.055275204010997996,0.06666666666666667,30
NC,0.04432417343012273,0.043478260869565216,23
NV,0.04146263855509972,0.125,24
IL,0.038870957098952184,0.06666666666666667,30
LA,0.03700969783434447,0.0967741935483871,31
WI,0.036960708883844624,0.03571428571428571,28
NE,0.036282354357433357,0.037037037037037035,27
GA,0.035137522170701346,0.06896551724137931,29
WY,0.034488552611878616,0.05263157894736842,38
VA,0.025691363067194148,0.024390243902439025,41
PA,0.024003498959524083,0.0,32
RI,0.02313278033319655,0.029411764705882353,34
