model,n_estimators,learning_rate,accuracy,precision,recall,f1,roc_auc
GradientBoosting,500,0.5,0.94,0.8378378378378378,0.7209302325581395,0.775,0.914396887159533
GradientBoosting,500,0.1,0.9433333333333334,0.90625,0.6744186046511628,0.7733333333333333,0.8983802370826168
GradientBoosting,2000,0.5,0.94,0.8571428571428571,0.6976744186046512,0.7692307692307693,0.9178354900009048
GradientBoosting,100,0.5,0.94,0.8571428571428571,0.6976744186046512,0.7692307692307693,0.907881639670618
GradientBoosting,100,0.1,0.9433333333333334,0.9333333333333333,0.6511627906976745,0.7671232876712328,0.8978825445661026
GradientBoosting,200,0.1,0.9433333333333334,0.9333333333333333,0.6511627906976745,0.7671232876712328,0.8965704461134739
GradientBoosting,50,0.1,0.9433333333333334,0.9333333333333333,0.6511627906976745,0.7671232876712328,0.8873405121708442
GradientBoosting,200,0.5,0.9333333333333333,0.8108108108108109,0.6976744186046512,0.75,0.9164781467740475
GradientBoosting,200,0.9,0.9333333333333333,0.8484848484848485,0.6511627906976745,0.7368421052631579,0.914396887159533
GradientBoosting,100,0.9,0.9333333333333333,0.8709677419354839,0.627906976744186,0.7297297297297297,0.9121346484481042
GradientBoosting,50,0.5,0.9333333333333333,0.8709677419354839,0.627906976744186,0.7297297297297297,0.9046240159261605
GradientBoosting,500,0.9,0.93,0.84375,0.627906976744186,0.72,0.9297801103972491
GradientBoosting,2000,0.9,0.93,0.84375,0.627906976744186,0.72,0.9297801103972491
GradientBoosting,2000,0.1,0.93,0.84375,0.627906976744186,0.72,0.9113202425119898
GradientBoosting,50,0.9,0.9266666666666666,0.8181818181818182,0.627906976744186,0.7105263157894737,0.8835399511356439
AdaBoost,2000,0.5,0.88,0.6842105263157895,0.3023255813953488,0.41935483870967744,0.8352185322595241
AdaBoost,500,0.5,0.88,0.7333333333333333,0.2558139534883721,0.3793103448275862,0.8487467197538683
AdaBoost,200,0.5,0.8733333333333333,0.6666666666666666,0.23255813953488372,0.3448275862068966,0.8544928060808976
AdaBoost,2000,0.1,0.8733333333333333,0.6666666666666666,0.23255813953488372,0.3448275862068966,0.8514614062075831
AdaBoost,100,0.5,0.8766666666666667,0.75,0.20930232558139536,0.32727272727272727,0.8721382680300426
AdaBoost,500,0.1,0.87,0.7,0.16279069767441862,0.2641509433962264,0.8688353995113564
AdaBoost,50,0.5,0.86,0.5555555555555556,0.11627906976744186,0.19230769230769232,0.8723644919011855
AdaBoost,500,0.01,0.8633333333333333,0.75,0.06976744186046512,0.1276595744680851,0.8524115464663831
AdaBoost,2000,0.01,0.86,0.6,0.06976744186046512,0.125,0.8705999457062709
AdaBoost,100,0.1,0.86,0.6,0.06976744186046512,0.125,0.8701927427382137
AdaBoost,50,0.1,0.86,0.6,0.06976744186046512,0.125,0.8659397339607275
AdaBoost,200,0.1,0.8566666666666667,0.5,0.06976744186046512,0.12244897959183673,0.8725907157723283
AdaBoost,200,0.01,0.86,0.6666666666666666,0.046511627906976744,0.08695652173913043,0.8415980454257534
AdaBoost,100,0.01,0.86,0.6666666666666666,0.046511627906976744,0.08695652173913043,0.7799746629264319
AdaBoost,50,0.01,0.8566666666666667,0.0,0.0,0.0,0.7815129852502035
